"Name.x","Species","Hex.x","Category.x","Year","Month","CountMosq","positive"
"PJ22.ST1(3)","P","ST1","Equal",2022,"PJ",10,1
"RA21.AH1(1)","R","AH1","Equal",2021,"RA",1,0
"RA21.DP1(1)","R","DP1","Lower",2021,"RA",1,0
"RA21.DP3(1)","R","DP3","Equal",2021,"RA",2,0
"RA21.DP4(1)","R","DP4","Lower",2021,"RA",1,0
"RA21.DP5(1)","R","DP5","Higher",2021,"RA",1,0
"RA21.EG1(1)","R","EG1","Equal",2021,"RA",3,0
"RA21.HP1(1)","R","HP1","Higher",2021,"RA",1,0
"RA21.PR1(1)","R","PR1","Lower",2021,"RA",2,0
"RA21.PR3(1)","R","PR3","Lower",2021,"RA",2,0
"RA22.DP2(1)","R","DP2","Higher",2022,"RA",1,0
"RA22.DP3(1)","R","DP3","Equal",2022,"RA",1,0
"RA22.DP4(1)","R","DP4","Lower",2022,"RA",2,0
"RA22.DP5(1)","R","DP5","Higher",2022,"RA",2,0
"RA22.EG1(1)","R","EG1","Equal",2022,"RA",6,0
"RA22.EG2(1)","R","EG2","Lower",2022,"RA",2,0
"RA22.EG3(1)","R","EG3","Higher",2022,"RA",3,0
"RA22.EG4(1)","R","EG4","Equal",2022,"RA",1,0
"RA22.HE1(1)","R","HE1","Higher",2022,"RA",2,0
"RA22.HP1(1)","R","HP1","Higher",2022,"RA",1,1
"RA22.MP1(1)","R","MP1","Higher",2022,"RA",2,0
"RA22.PR1(1)","R","PR1","Lower",2022,"RA",1,0
"RA22.PR2(1)","R","PR2","Lower",2022,"RA",1,0
"RA22.PR3(1)","R","PR3","Lower",2022,"RA",1,0
"RA22.ST1(1)","R","ST1","Equal",2022,"RA",2,0
"RJ21.AH1(1)","R","AH1","Equal",2021,"RJ",1,0
"RJ21.AH3(1)","R","AH3","Equal",2021,"RJ",2,0
"RJ21.DP1(1)","R","DP1","Lower",2021,"RJ",6,0
"RJ21.DP2(1)","R","DP2","Higher",2021,"RJ",10,0
"RJ21.DP2(2)","R","DP2","Higher",2021,"RJ",8,0
"RJ21.DP3(1)","R","DP3","Equal",2021,"RJ",9,1
"RJ21.DP4(1)","R","DP4","Lower",2021,"RJ",8,1
"RJ21.DP5(1)","R","DP5","Higher",2021,"RJ",2,0
"RJ21.EG1(1)","R","EG1","Equal",2021,"RJ",10,0
"RJ21.EG1(2)","R","EG1","Equal",2021,"RJ",10,0
"RJ21.HE1(1)","R","HE1","Higher",2021,"RJ",1,0
"RJ21.HP1(1)","R","HP1","Higher",2021,"RJ",5,1
