PlateVal,Include,Color,Pos,Name,Cp,Pos_Tm,Tm1,Tm2
618,TRUE,255,B8,Sample 20,40,B8,78.78,
618,TRUE,255,B9,Sample 21,26.29,B9,81.95,
618,TRUE,65280,B10,Sample 22,,B10,,
618,TRUE,65280,B11,Sample 23,,B11,,
618,TRUE,255,B12,Sample 24,35.02,B12,,
618,TRUE,255,C1,Sample 25,35.26,C1,81.96,
618,TRUE,255,C2,Sample 26,37.36,C2,78.41,81.45
618,TRUE,65280,C3,Sample 27,,C3,,
618,TRUE,255,C4,Sample 28,37.57,C4,77.77,81.94
618,TRUE,255,C5,Sample 29,33.55,C5,80.75,
618,TRUE,255,C6,Sample 30,36.03,C6,81.39,
618,TRUE,255,C7,Sample 31,35.55,C7,77.94,82.73
618,TRUE,255,C8,Sample 32,33.15,C8,79.61,
618,TRUE,255,C9,Sample 33,29.77,C9,81.96,
618,TRUE,255,C10,Sample 34,29.86,C10,,
618,TRUE,65280,C11,Sample 35,,C11,,
618,TRUE,65280,C12,Sample 36,,C12,,
618,TRUE,255,D1,Sample 37,24.15,D1,81.66,
618,TRUE,255,D2,Sample 38,23.96,D2,81.61,
618,TRUE,255,D3,Sample 39,40,D3,85.43,
618,TRUE,255,D4,Sample 40,38.22,D4,83.15,
618,TRUE,255,D5,Sample 41,22.49,D5,81.35,
618,TRUE,255,D6,Sample 42,22.46,D6,81.32,
618,TRUE,255,D7,Sample 43,38.14,D7,78.69,83.25
618,TRUE,255,D8,Sample 44,34.2,D8,78.49,83.24
618,TRUE,255,D9,Sample 45,32.82,D9,81.98,
618,TRUE,65280,D10,Sample 46,,D10,,
618,TRUE,65280,D11,Sample 47,,D11,,
618,TRUE,65280,D12,Sample 48,,D12,,
618,TRUE,65280,E1,Sample 49,,E1,,
618,TRUE,65280,E2,Sample 50,,E2,,
618,TRUE,65280,E3,Sample 51,,E3,,
618,TRUE,255,E4,Sample 52,40,E4,83.15,
618,TRUE,255,E5,Sample 53,35.26,E5,79.33,
618,TRUE,255,E6,Sample 54,35.91,E6,77.05,81.98
618,TRUE,255,E7,Sample 55,34.54,E7,80.44,
618,TRUE,255,E8,Sample 56,37.1,E8,78.4,81.79
618,TRUE,65280,E9,Sample 57,,E9,,
618,TRUE,65280,E10,Sample 58,,E10,,
618,TRUE,65280,E11,Sample 59,,E11,,
618,TRUE,65280,E12,Sample 60,,E12,,
618,TRUE,65280,F1,Sample 61,,F1,,
618,TRUE,255,F2,Sample 62,39.42,F2,81.07,
618,TRUE,255,F3,Sample 63,38.54,F3,75.55,
618,TRUE,255,F4,Sample 64,37.76,F4,77.29,
618,TRUE,255,F5,Sample 65,33.19,F5,77.08,82.03
618,TRUE,255,F6,Sample 66,35.89,F6,81.68,
618,TRUE,255,F7,Sample 67,40,F7,78.08,
618,TRUE,255,F8,Sample 68,32.67,F8,81.48,
618,TRUE,255,F9,Sample 69,7.4,F9,,
618,TRUE,65280,F10,Sample 70,,F10,,
618,TRUE,65280,F11,Sample 71,,F11,,
618,TRUE,65280,F12,Sample 72,,F12,,
618,TRUE,65280,G1,Sample 73,,G1,,
618,TRUE,255,G2,Sample 74,40,G2,85.86,
618,TRUE,255,G3,Sample 75,40,G3,80.95,85.9
618,TRUE,255,G4,Sample 76,34.6,G4,80.95,
618,TRUE,255,G5,Sample 77,34.35,G5,78.68,
618,TRUE,65280,G6,Sample 78,,G6,,
618,TRUE,255,G7,Sample 79,40,G7,83.51,
618,TRUE,255,G8,Sample 80,34.24,G8,78.29,85.62
618,TRUE,255,G9,Sample 81,40,G9,81.94,
618,TRUE,255,G10,Sample 82,17.94,G10,,
618,TRUE,255,G11,Sample 83,19.57,G11,,
618,TRUE,255,G12,Sample 84,13.28,G12,,
618,TRUE,255,H1,Sample 85,33.68,H1,79.33,
618,TRUE,65280,H2,Sample 86,,H2,,
618,TRUE,65280,H3,Sample 87,,H3,,
618,TRUE,255,H4,Sample 88,40,H4,86.35,
618,TRUE,255,H5,Sample 89,40,H5,77.73,81.56
618,TRUE,255,H6,Sample 90,36.08,H6,81.56,
618,TRUE,255,H7,Sample 91,40,H7,77.95,
618,TRUE,255,H8,Sample 92,37.51,H8,74.87,79.51
618,TRUE,65280,H9,Sample 93,,H9,,
618,TRUE,16711680,H10,Sample 94,31.02,H10,,
618,TRUE,255,H11,Sample 95,37.78,H11,,
618,TRUE,255,H12,Sample 96,15.54,H12,,
624,TRUE,65280,A1,Sample 1,,A1,,
624,TRUE,255,A2,Sample 2,40,A2,78.92,
624,TRUE,65280,A3,Sample 3,,A3,,
624,TRUE,255,A4,Sample 4,40,A4,76.91,
624,TRUE,65280,A5,Sample 5,,A5,,
624,TRUE,65280,A6,Sample 6,,A6,,
624,TRUE,255,A7,Sample 7,22.96,A7,81.93,
624,TRUE,255,A8,Sample 8,30.59,A8,,
624,TRUE,255,A9,Sample 9,30.79,A9,,
624,TRUE,255,A10,Sample 10,24.78,A10,,
624,TRUE,255,A11,Sample 11,34.16,A11,,
624,TRUE,255,A12,Sample 12,33.95,A12,,
624,TRUE,65280,B1,Sample 13,,B1,85.51,
624,TRUE,65280,B2,Sample 14,,B2,,
624,TRUE,65280,B3,Sample 15,,B3,,
624,TRUE,65280,B4,Sample 16,,B4,,
624,TRUE,65280,B5,Sample 17,,B5,,
